symbol,entry_price,exit_price,pnl_pct,holding_hours,entry_kst,exit_kst
QTUM,950.9,921.1,-3.1338731727836735,50.25,2026-07-27T22:15:00+09:00,2026-07-30T00:30:00+09:00
CC,174.2,167.8,-3.673938002296198,52.0,2026-07-28T00:15:00+09:00,2026-07-30T04:15:00+09:00
DEEP,23.74,22.98,-3.2013479359730335,38.75,2026-07-28T08:00:00+09:00,2026-07-29T22:45:00+09:00
LINK,12232.0,11828.0,-3.302812295618051,40.25,2026-07-28T08:45:00+09:00,2026-07-30T01:00:00+09:00
GHX,7.811,7.568,-3.1109973114838088,41.25,2026-07-28T09:15:00+09:00,2026-07-30T02:30:00+09:00
MNT,583.6,563.4,-3.461274845784792,38.75,2026-07-28T09:45:00+09:00,2026-07-30T00:30:00+09:00
CRO,79.23,76.52,-3.4204215574908594,49.0,2026-07-28T10:30:00+09:00,2026-07-30T11:30:00+09:00
PENGU,8.641,8.354,-3.3213748408749084,37.0,2026-07-28T10:30:00+09:00,2026-07-29T23:30:00+09:00
AVNT,122.1,117.9,-3.439803439803431,35.75,2026-07-28T11:00:00+09:00,2026-07-29T22:45:00+09:00
BNT,396.4,382.6,-3.481331987891008,46.0,2026-07-28T11:45:00+09:00,2026-07-30T09:45:00+09:00
SIX,6.876,6.513,-5.279232111692851,33.25,2026-07-28T12:00:00+09:00,2026-07-29T21:15:00+09:00
XPR,3.708,3.581,-3.425026968716295,48.0,2026-07-28T12:45:00+09:00,2026-07-30T12:45:00+09:00
GRND,12.93,12.79,-1.0827532869296255,47.25,2026-07-28T13:15:00+09:00,2026-07-30T12:30:00+09:00
MOC,24.98,24.01,-3.883106485188146,43.75,2026-07-28T13:45:00+09:00,2026-07-30T09:30:00+09:00
FLOKI,0.03,0.0289,-3.666666666666668,35.25,2026-07-28T13:45:00+09:00,2026-07-30T01:00:00+09:00
ICP,3009.0,2890.0,-3.954802259887006,38.25,2026-07-28T15:00:00+09:00,2026-07-30T05:15:00+09:00
PUMPBTC,13.09,12.64,-3.4377387318563732,31.0,2026-07-28T16:15:00+09:00,2026-07-29T23:15:00+09:00
OSMO,39.04,38.5,-1.3831967213114733,32.0,2026-07-28T17:00:00+09:00,2026-07-30T01:00:00+09:00
CRV,302.3,292.7,-3.1756533245120817,36.0,2026-07-28T17:15:00+09:00,2026-07-30T05:15:00+09:00
RAD,296.3,286.7,-3.239959500506251,43.0,2026-07-28T17:15:00+09:00,2026-07-30T12:15:00+09:00
ACX,57.72,55.9,-3.1531531531531534,39.5,2026-07-28T18:00:00+09:00,2026-07-30T09:30:00+09:00
WNCG,6.243,6.011,-3.716162101553743,38.25,2026-07-28T18:30:00+09:00,2026-07-30T08:45:00+09:00
GPS,13.49,13.83,2.52038547071905,26.5,2026-07-28T20:15:00+09:00,2026-07-29T22:45:00+09:00
GALA,2.623,2.539,-3.20243995425086,30.5,2026-07-28T22:15:00+09:00,2026-07-30T04:45:00+09:00
LPT,1958.0,1896.0,-3.1664964249233916,23.25,2026-07-28T23:30:00+09:00,2026-07-29T22:45:00+09:00
SEI,60.85,58.93,-3.155299917830734,30.75,2026-07-28T23:30:00+09:00,2026-07-30T06:15:00+09:00
WIF,210.2,202.8,-3.52045670789723,29.25,2026-07-28T23:30:00+09:00,2026-07-30T04:45:00+09:00
ROA,4.976,4.984,0.16077170418006445,37.0,2026-07-29T00:45:00+09:00,2026-07-30T13:45:00+09:00
VET,6.587,6.366,-3.3550933657203594,28.25,2026-07-29T00:45:00+09:00,2026-07-30T05:00:00+09:00
MVC,1.57,1.599,1.847133757961778,21.0,2026-07-29T00:45:00+09:00,2026-07-29T21:45:00+09:00
ZRC,1.106,1.124,1.6274864376130211,38.0,2026-07-29T03:30:00+09:00,2026-07-30T17:30:00+09:00
BOBA,26.81,25.82,-3.692651995524052,25.5,2026-07-29T04:00:00+09:00,2026-07-30T05:30:00+09:00
BIOT,0.2649,0.2906,9.701774254435636,17.25,2026-07-29T05:00:00+09:00,2026-07-29T22:15:00+09:00
TAO,278578.0,266933.0,-4.18015780140571,23.25,2026-07-29T05:30:00+09:00,2026-07-30T04:45:00+09:00
QKC,2.82,2.721,-3.5106382978723314,32.5,2026-07-29T06:30:00+09:00,2026-07-30T15:00:00+09:00
TDROP,0.5247,0.5366,2.2679626453211186,16.0,2026-07-29T06:30:00+09:00,2026-07-29T22:30:00+09:00
JTO,774.8,745.3,-3.8074341765616935,29.75,2026-07-29T07:45:00+09:00,2026-07-30T13:30:00+09:00
TURBO,1.102,1.064,-3.4482758620689684,15.25,2026-07-29T08:00:00+09:00,2026-07-29T23:15:00+09:00
RPL,2279.0,2205.0,-3.247038174637999,13.0,2026-07-29T08:15:00+09:00,2026-07-29T21:15:00+09:00
BLUE,12.61,12.19,-3.3306899286280722,13.5,2026-07-29T08:15:00+09:00,2026-07-29T21:45:00+09:00
